[
["128.110.0.36", "128.110.0.49", "12720", "33103", "TCP", "775", "4.4s", "08-31-2017-12-32-47"],
["128.110.0.36", "128.110.0.49", "14007", "32710", "TCP", "662", "2.2s", "08-31-2017-12-42-25"],
["128.110.0.36", "128.110.0.49", "18515", "31765", "TCP", "520", "4.3s", "08-31-2017-12-59-18"],
["128.110.0.36", "128.110.0.49", "18233", "33037", "TCP", "943", "3.3s", "08-31-2017-12-43-47"],
["128.110.0.36", "128.110.0.49", "18683", "30736", "TCP", "846", "5.5s", "08-31-2017-12-27-07"],
["128.110.0.36", "128.110.0.49", "17408", "35423", "TCP", "490", "3.6s", "08-31-2017-12-29-02"],
["128.110.0.36", "128.110.0.49", "16829", "31586", "TCP", "696", "4.9s", "08-31-2017-12-55-30"],
["128.110.0.36", "128.110.0.49", "18683", "31315", "TCP", "898", "4.4s", "08-31-2017-12-50-24"],
["128.110.0.36", "128.110.0.49", "12947", "38000", "TCP", "760", "7.2s", "08-31-2017-12-37-06"],
["128.110.0.36", "128.110.0.49", "12743", "34863", "TCP", "855", "5.4s", "08-31-2017-12-40-08"],
["128.110.0.36", "128.110.0.49", "18215", "39463", "TCP", "709", "4.9s", "08-31-2017-12-58-15"],
["128.110.0.36", "128.110.0.49", "19662", "31689", "TCP", "619", "2.4s", "08-31-2017-12-19-28"],
["128.110.0.36", "128.110.0.49", "18600", "36811", "TCP", "879", "4.4s", "08-31-2017-12-26-06"],
["128.110.0.36", "128.110.0.49", "14724", "31517", "TCP", "950", "2.5s", "08-31-2017-12-15-42"],
["128.110.0.36", "128.110.0.49", "12370", "35609", "TCP", "638", "6.2s", "08-31-2017-12-10-35"],
["128.110.0.36", "128.110.0.49", "17396", "30661", "TCP", "657", "2.3s", "08-31-2017-12-00-11"],
["128.110.0.36", "128.110.0.49", "12791", "34493", "TCP", "805", "1.4s", "08-31-2017-12-05-00"],
["128.110.0.36", "128.110.0.49", "14118", "32745", "TCP", "685", "5.3s", "08-31-2017-12-51-36"],
["128.110.0.36", "128.110.0.49", "18312", "30340", "TCP", "793", "1.1s", "08-31-2017-12-17-24"],
["128.110.0.36", "128.110.0.49", "15198", "39992", "TCP", "851", "2.2s", "08-31-2017-12-10-45"],
["128.110.0.36", "128.110.0.49", "14187", "33703", "TCP", "732", "6.1s", "08-31-2017-12-42-58"],
["128.110.0.36", "128.110.0.49", "15860", "31708", "TCP", "538", "4.5s", "08-31-2017-12-00-46"],
["128.110.0.36", "128.110.0.49", "13734", "32567", "TCP", "778", "6.7s", "08-31-2017-12-47-14"],
["128.110.0.36", "128.110.0.49", "16071", "37374", "TCP", "574", "1.0s", "08-31-2017-12-04-16"],
["128.110.0.36", "128.110.0.49", "14158", "35024", "TCP", "808", "5.0s", "08-31-2017-12-47-35"],
["128.110.0.36", "128.110.0.49", "19296", "33067", "TCP", "529", "2.7s", "08-31-2017-12-32-17"],
["128.110.0.36", "128.110.0.49", "16375", "39362", "TCP", "678", "3.0s", "08-31-2017-12-35-50"],
["128.110.0.36", "128.110.0.49", "13995", "32980", "TCP", "488", "3.2s", "08-31-2017-12-32-22"],
["128.110.0.36", "128.110.0.49", "18297", "31257", "TCP", "741", "6.9s", "08-31-2017-12-10-33"],
["128.110.0.36", "128.110.0.49", "11586", "39760", "TCP", "870", "3.0s", "08-31-2017-12-40-33"],
["128.110.0.36", "128.110.0.49", "13548", "32287", "TCP", "547", "4.9s", "08-31-2017-12-16-25"],
["128.110.0.36", "128.110.0.49", "16867", "30047", "TCP", "483", "3.4s", "08-31-2017-12-54-27"],
["128.110.0.36", "128.110.0.49", "14961", "38891", "TCP", "586", "3.6s", "08-31-2017-12-26-22"],
["128.110.0.36", "128.110.0.49", "18399", "37757", "TCP", "858", "4.2s", "08-31-2017-12-41-06"],
["128.110.0.36", "128.110.0.49", "18817", "32099", "TCP", "468", "1.4s", "08-31-2017-12-12-58"],
["128.110.0.36", "128.110.0.49", "15577", "34731", "TCP", "802", "4.2s", "08-31-2017-12-04-29"],
["128.110.0.36", "128.110.0.49", "15430", "39809", "TCP", "859", "2.4s", "08-31-2017-12-06-28"],
["128.110.0.36", "128.110.0.49", "19341", "37337", "TCP", "958", "3.4s", "08-31-2017-12-35-46"],
["128.110.0.36", "128.110.0.49", "13138", "38107", "TCP", "586", "2.7s", "08-31-2017-12-55-22"],
["128.110.0.36", "128.110.0.49", "18470", "31365", "TCP", "724", "1.6s", "08-31-2017-12-52-26"],
["128.110.0.36", "128.110.0.49", "10069", "30673", "TCP", "412", "1.5s", "08-31-2017-12-06-19"],
["128.110.0.36", "128.110.0.49", "13249", "31851", "TCP", "711", "3.3s", "08-31-2017-12-31-29"],
["128.110.0.36", "128.110.0.49", "14399", "35605", "TCP", "691", "2.0s", "08-31-2017-12-32-22"],
["128.110.0.36", "128.110.0.49", "18287", "34784", "TCP", "793", "4.7s", "08-31-2017-12-51-57"],
["128.110.0.36", "128.110.0.49", "15691", "33185", "TCP", "648", "3.4s", "08-31-2017-12-20-17"],
["128.110.0.36", "128.110.0.49", "10433", "36921", "TCP", "679", "3.8s", "08-31-2017-12-50-13"],
["128.110.0.36", "128.110.0.49", "10444", "33462", "TCP", "738", "5.1s", "08-31-2017-12-10-59"],
["128.110.0.36", "128.110.0.49", "15643", "35823", "TCP", "677", "5.5s", "08-31-2017-12-33-55"],
["128.110.0.36", "128.110.0.49", "12261", "38706", "TCP", "897", "3.2s", "08-31-2017-12-49-16"],
["128.110.0.36", "128.110.0.49", "10155", "37457", "TCP", "988", "5.0s", "08-31-2017-12-58-30"],
["128.110.0.36", "128.110.0.49", "16058", "34285", "TCP", "765", "3.3s", "08-31-2017-12-06-22"],
["128.110.0.36", "128.110.0.49", "19905", "38714", "TCP", "589", "4.8s", "08-31-2017-12-13-31"],
