10.2.1.20,Miami,25.784,-80.2102
10.1.1.30,Chicago,41.8373,-87.6861
10.2.1.10,New York,40.7127281,-74.006015
10.1.1.50,Little Rock,34.7255,-92.3581
10.1.1.10,Seattle,47.6211,-122.3244
10.1.1.20,San Diego,32.7174209,-117.162771
10.30.4.20,Houston,29.7868,-95.3905
10.27.4.100,Dumont,40.9452,-73.9923
10.31.9.10,Sunland Park,31.8195,-106.5948
10.32.8.10,Davidson,35.4862,-80.8271
10.10.7.20,Williston,48.1814,-103.6364
10.23.7.20,Bells,35.7203,-89.0859
10.17.4.10,Fountain Valley,33.7105,-117.9514
10.30.3.20,Las Vegas,36.167245,-115.149021
10.34.8.10,Portland,45.5202471,-122.6741949
10.36.8.20,Phoenix,33.4484367,-112.074142
10.26.5.20,Jacksonville,30.3322,-81.6557
10.33.4.10,Philadelphia,39.9524 ,-75.1636
10.10.5.10,Indianapolis,39.7683,-86.1584
10.38.3.20,Kansas City,39.1001,-94.5781
