host-src-ip			host-dst-ip			host-src-port			host-dst-port			host-protocol			flow-size-in-bytes			flow-duration
192.168.1.10			192.168.1.53			14707			36094			TCP			701			5.8s
192.168.1.10			192.168.1.53			10648			34664			TCP			740			5.7s
192.168.1.10			192.168.1.53			15930			34936			TCP			567			6.2s
192.168.1.10			192.168.1.53			18814			31517			TCP			448			3.3s
192.168.1.10			192.168.1.53			12189			31312			TCP			893			3.8s
192.168.1.10			192.168.1.53			16501			36856			TCP			561			3.4s
192.168.1.10			192.168.1.53			12494			39091			TCP			822			3.9s
192.168.1.10			192.168.1.53			13581			34058			TCP			922			6.1s
192.168.1.10			192.168.1.53			15586			38007			TCP			871			4.2s
192.168.1.10			192.168.1.53			17785			38494			TCP			804			4.8s
192.168.1.10			192.168.1.53			17844			34538			TCP			429			4.6s
192.168.1.10			192.168.1.53			19964			38614			TCP			789			4.2s
192.168.1.10			192.168.1.53			18841			32525			TCP			508			1.6s
192.168.1.10			192.168.1.53			18057			36826			TCP			579			5.5s
192.168.1.10			192.168.1.53			10920			31466			TCP			429			3.1s
192.168.1.10			192.168.1.53			11886			33750			TCP			878			7.1s
192.168.1.10			192.168.1.53			17111			35789			TCP			989			6.5s
192.168.1.10			192.168.1.53			10758			39024			TCP			910			6.6s
192.168.1.10			192.168.1.53			17388			38610			TCP			674			6.9s
192.168.1.10			192.168.1.53			13331			34294			TCP			531			3.3s
192.168.1.10			192.168.1.53			14990			38446			TCP			769			1.2s
192.168.1.10			192.168.1.53			11401			32489			TCP			877			3.1s
192.168.1.10			192.168.1.53			11456			35590			TCP			722			6.0s
192.168.1.10			192.168.1.53			18979			34059			TCP			579			2.1s
192.168.1.10			192.168.1.53			11707			37045			TCP			980			4.5s
192.168.1.10			192.168.1.53			11719			34646			TCP			787			2.9s
192.168.1.10			192.168.1.53			10931			33400			TCP			460			1.5s
192.168.1.10			192.168.1.53			14960			34336			TCP			709			1.3s
192.168.1.10			192.168.1.53			10228			34410			TCP			535			6.5s
192.168.1.10			192.168.1.53			16129			32882			TCP			970			1.7s
192.168.1.10			192.168.1.53			13778			37550			TCP			899			4.3s
192.168.1.10			192.168.1.53			11815			30015			TCP			631			1.2s
192.168.1.10			192.168.1.53			17397			38844			TCP			598			7.2s
192.168.1.10			192.168.1.53			11518			34237			TCP			715			3.4s
192.168.1.10			192.168.1.53			13099			31873			TCP			528			4.7s
192.168.1.10			192.168.1.53			19579			33488			TCP			942			3.6s
192.168.1.10			192.168.1.53			10235			31527			TCP			581			1.2s
192.168.1.10			192.168.1.53			18330			39057			TCP			456			5.2s
192.168.1.10			192.168.1.53			14408			33246			TCP			791			3.0s
192.168.1.10			192.168.1.53			12779			31724			TCP			734			2.3s
192.168.1.10			192.168.1.53			13477			39896			TCP			725			5.3s
192.168.1.10			192.168.1.53			11694			34681			TCP			708			7.0s
192.168.1.10			192.168.1.53			10203			36371			TCP			999			2.4s
192.168.1.10			192.168.1.53			10554			34579			TCP			884			4.5s
192.168.1.10			192.168.1.53			13548			39366			TCP			749			4.8s
192.168.1.10			192.168.1.53			19476			30026			TCP			779			2.1s
192.168.1.10			192.168.1.53			14698			37684			TCP			869			4.0s
192.168.1.10			192.168.1.53			11925			34408			TCP			637			1.6s
192.168.1.10			192.168.1.53			18743			31363			TCP			651			3.4s
192.168.1.10			192.168.1.53			14869			34881			TCP			930			3.3s
192.168.1.10			192.168.1.53			19218			39891			TCP			636			6.0s
192.168.1.10			192.168.1.53			17535			39175			TCP			447			3.8s
192.168.1.10			192.168.1.53			11918			33503			TCP			440			2.0s
192.168.1.11			192.168.1.53			18706			38319			TCP			545			7.3s
192.168.1.11			192.168.1.53			16013			39528			TCP			861			1.1s
192.168.1.11			192.168.1.53			17435			37370			TCP			836			3.7s
192.168.1.11			192.168.1.53			14599			39793			TCP			731			6.6s
192.168.1.11			192.168.1.53			11062			37365			TCP			834			5.5s
192.168.1.11			192.168.1.53			14793			35191			TCP			664			3.7s
192.168.1.11			192.168.1.53			12291			32782			TCP			576			5.5s
192.168.1.11			192.168.1.53			16756			38366			TCP			940			5.0s
192.168.1.11			192.168.1.53			18447			31374			TCP			946			2.2s
192.168.1.11			192.168.1.53			15262			38716			TCP			735			7.3s
192.168.1.11			192.168.1.53			16411			31241			TCP			433			2.1s
192.168.1.11			192.168.1.53			12488			35335			TCP			618			4.9s
192.168.1.11			192.168.1.53			12003			36295			TCP			614			3.7s
192.168.1.11			192.168.1.53			17317			35180			TCP			783			1.4s
192.168.1.11			192.168.1.53			14432			37513			TCP			858			2.2s
192.168.1.11			192.168.1.53			14977			38758			TCP			712			6.5s
192.168.1.11			192.168.1.53			16200			36742			TCP			791			3.2s
192.168.1.11			192.168.1.53			17622			33421			TCP			906			6.8s
192.168.1.11			192.168.1.53			12286			36658			TCP			992			3.1s
192.168.1.11			192.168.1.53			17563			34751			TCP			688			3.4s
192.168.1.11			192.168.1.53			11866			31434			TCP			548			2.0s
192.168.1.11			192.168.1.53			19755			32368			TCP			567			6.1s
192.168.1.11			192.168.1.53			10439			30950			TCP			539			5.5s
192.168.1.11			192.168.1.53			18280			35963			TCP			736			1.3s
