host-src-ip			host-dst-ip			host-src-port			host-dst-port			host-protocol			flow-size-in-bytes			flow-duration
128.110.0.32			128.110.0.49			10975			32788			TCP			746			4.8s
128.110.0.32			128.110.0.49			15655			34137			TCP			800			5.2s
128.110.0.32			128.110.0.49			16840			36039			TCP			840			2.3s
128.110.0.32			128.110.0.49			11845			31393			TCP			431			1.4s
128.110.0.32			128.110.0.49			15047			39535			TCP			604			1.3s
128.110.0.32			128.110.0.49			17189			37882			TCP			852			1.8s
128.110.0.32			128.110.0.49			13058			39780			TCP			885			5.7s
128.110.0.32			128.110.0.49			12580			34178			TCP			738			3.4s
128.110.0.32			128.110.0.49			11474			32694			TCP			556			2.7s
128.110.0.32			128.110.0.49			15583			39877			TCP			931			4.4s
128.110.0.32			128.110.0.49			14155			32059			TCP			641			4.3s
128.110.0.32			128.110.0.49			12282			36912			TCP			995			7.4s
128.110.0.32			128.110.0.49			19946			38615			TCP			662			1.3s
128.110.0.32			128.110.0.49			19208			36102			TCP			942			6.9s
128.110.0.32			128.110.0.49			10405			39196			TCP			889			3.6s
128.110.0.32			128.110.0.49			16494			33219			TCP			677			2.3s
128.110.0.32			128.110.0.49			14941			37966			TCP			640			4.1s
128.110.0.32			128.110.0.49			18728			37976			TCP			794			2.6s
128.110.0.32			128.110.0.49			12793			39106			TCP			546			7.1s
128.110.0.32			128.110.0.49			15969			33269			TCP			753			1.6s
128.110.0.32			128.110.0.49			18672			39091			TCP			604			2.3s
128.110.0.32			128.110.0.49			19401			34796			TCP			504			3.8s
128.110.0.32			128.110.0.49			15120			34045			TCP			447			4.5s
128.110.0.32			128.110.0.49			12887			30195			TCP			846			1.6s
128.110.0.32			128.110.0.49			11488			36805			TCP			937			4.0s
128.110.0.32			128.110.0.49			10571			38931			TCP			878			3.0s
128.110.0.32			128.110.0.49			10307			36020			TCP			678			1.7s
128.110.0.32			128.110.0.49			18664			37200			TCP			747			7.3s
128.110.0.32			128.110.0.49			15506			37156			TCP			932			3.0s
128.110.0.32			128.110.0.49			12368			33866			TCP			555			4.9s
128.110.0.32			128.110.0.49			12053			30372			TCP			574			3.9s
128.110.0.32			128.110.0.49			18970			36967			TCP			531			3.5s
128.110.0.32			128.110.0.49			18677			35219			TCP			854			3.1s
128.110.0.32			128.110.0.49			15207			35730			TCP			797			3.0s
128.110.0.32			128.110.0.49			17955			30833			TCP			516			5.2s
128.110.0.32			128.110.0.49			15343			33750			TCP			466			2.1s
128.110.0.32			128.110.0.49			18925			38168			TCP			591			4.0s
128.110.0.32			128.110.0.49			17641			30283			TCP			522			5.3s
128.110.0.32			128.110.0.49			13113			38919			TCP			758			6.9s
128.110.0.32			128.110.0.49			14864			36083			TCP			513			6.2s
128.110.0.32			128.110.0.49			12649			39475			TCP			522			6.6s
128.110.0.32			128.110.0.49			10657			36182			TCP			979			1.5s
128.110.0.32			128.110.0.49			13831			30304			TCP			699			5.9s
128.110.0.32			128.110.0.49			12243			35974			TCP			630			3.5s
128.110.0.32			128.110.0.49			16623			31764			TCP			661			6.9s
128.110.0.32			128.110.0.49			19187			39819			TCP			980			5.4s
128.110.0.33			128.110.0.49			17308			35948			TCP			730			3.2s
128.110.0.33			128.110.0.49			14994			30611			TCP			904			6.1s
128.110.0.33			128.110.0.49			16208			30023			TCP			516			3.8s
128.110.0.33			128.110.0.49			14645			38216			TCP			662			2.1s
128.110.0.33			128.110.0.49			19929			32509			TCP			480			3.8s
128.110.0.33			128.110.0.49			13868			39307			TCP			851			4.0s
128.110.0.33			128.110.0.49			14231			39056			TCP			702			6.0s
128.110.0.33			128.110.0.49			14910			33908			TCP			712			1.1s
128.110.0.33			128.110.0.49			13601			32529			TCP			894			3.9s
128.110.0.33			128.110.0.49			11058			38962			TCP			868			2.6s
128.110.0.33			128.110.0.49			11294			32626			TCP			627			1.0s
128.110.0.33			128.110.0.49			18286			39404			TCP			723			3.1s
128.110.0.33			128.110.0.49			15817			36189			TCP			966			4.0s
128.110.0.33			128.110.0.49			16701			36593			TCP			985			5.6s
128.110.0.33			128.110.0.49			13335			33190			TCP			818			4.2s
128.110.0.33			128.110.0.49			15908			38282			TCP			916			6.0s
128.110.0.33			128.110.0.49			18964			34902			TCP			845			3.3s
128.110.0.33			128.110.0.49			18672			33760			TCP			986			6.6s
128.110.0.33			128.110.0.49			13316			39902			TCP			556			6.6s
128.110.0.33			128.110.0.49			17226			39263			TCP			775			4.3s
128.110.0.33			128.110.0.49			12453			33086			TCP			750			6.0s
128.110.0.33			128.110.0.49			18212			36419			TCP			528			2.1s
128.110.0.33			128.110.0.49			12838			31044			TCP			452			1.5s
128.110.0.33			128.110.0.49			17590			34046			TCP			751			4.7s
128.110.0.33			128.110.0.49			19924			31431			TCP			525			2.5s
128.110.0.33			128.110.0.49			11900			32241			TCP			472			3.1s
128.110.0.33			128.110.0.49			12826			33202			TCP			841			2.3s
128.110.0.33			128.110.0.49			13792			35109			TCP			955			4.4s
128.110.0.33			128.110.0.49			19848			33966			TCP			703			3.8s
128.110.0.33			128.110.0.49			17399			37729			TCP			752			3.5s
128.110.0.33			128.110.0.49			14280			38218			TCP			931			4.6s
128.110.0.33			128.110.0.49			14231			37753			TCP			873			6.4s
128.110.0.33			128.110.0.49			18461			33693			TCP			925			6.8s
128.110.0.33			128.110.0.49			19082			38447			TCP			800			4.0s
128.110.0.33			128.110.0.49			11081			31536			TCP			699			4.7s
128.110.0.33			128.110.0.49			18506			30791			TCP			526			7.2s
128.110.0.33			128.110.0.49			15454			36719			TCP			870			1.2s
128.110.0.33			128.110.0.49			13577			32388			TCP			462			3.8s
128.110.0.33			128.110.0.49			11394			32578			TCP			889			7.0s
128.110.0.33			128.110.0.49			13014			31718			TCP			481			3.2s
128.110.0.33			128.110.0.49			13477			33953			TCP			481			6.8s
128.110.0.33			128.110.0.49			13286			32292			TCP			640			5.1s
128.110.0.33			128.110.0.49			15103			32615			TCP			927			2.0s
128.110.0.33			128.110.0.49			10378			32106			TCP			935			1.8s
128.110.0.33			128.110.0.49			10162			39263			TCP			892			3.0s
128.110.0.33			128.110.0.49			11292			33543			TCP			443			5.0s
128.110.0.33			128.110.0.49			14192			39241			TCP			985			4.3s
128.110.0.33			128.110.0.49			20000			39908			TCP			574			1.0s
128.110.0.33			128.110.0.49			11704			31496			TCP			862			2.2s
128.110.0.33			128.110.0.49			17210			30283			TCP			736			1.1s
128.110.0.33			128.110.0.49			15112			31744			TCP			560			6.6s
128.110.0.33			128.110.0.49			18019			37574			TCP			765			2.7s
128.110.0.33			128.110.0.49			11665			32171			TCP			646			2.2s
128.110.0.33			128.110.0.49			13084			35917			TCP			731			6.8s
128.110.0.33			128.110.0.49			12116			39082			TCP			932			1.1s
128.110.0.33			128.110.0.49			18191			30571			TCP			662			1.3s
128.110.0.33			128.110.0.49			17689			34329			TCP			472			6.1s
128.110.0.33			128.110.0.49			13335			39181			TCP			983			4.9s
128.110.0.33			128.110.0.49			12476			33749			TCP			795			3.6s
128.110.0.33			128.110.0.49			10562			37938			TCP			826			4.9s
128.110.0.33			128.110.0.49			19947			31930			TCP			923			1.8s
128.110.0.33			128.110.0.49			16545			31873			TCP			785			7.4s
128.110.0.35			128.110.0.32			8397			1004			TCP			614			3.9s
128.110.0.35			128.110.0.32			16980			568			TCP			796			2.2s
128.110.0.35			128.110.0.32			17965			1014			TCP			790			3.5s
128.110.0.35			128.110.0.32			5673			863			TCP			609			2.4s
128.110.0.35			128.110.0.32			8284			1018			TCP			625			3.1s
128.110.0.35			128.110.0.32			15986			559			TCP			809			1.3s
128.110.0.35			128.110.0.32			6852			1425			TCP			604			2.7s
128.110.0.35			128.110.0.32			19098			1230			TCP			804			3.4s
128.110.0.35			128.110.0.32			3913			1470			TCP			851			1.6s
128.110.0.35			128.110.0.32			4579			631			TCP			654			3.0s
128.110.0.35			128.110.0.32			12654			845			TCP			882			1.4s
128.110.0.35			128.110.0.32			15589			1			TCP			810			2.4s
128.110.0.35			128.110.0.32			17935			333			TCP			666			2.4s
128.110.0.35			128.110.0.32			6625			1596			TCP			840			3.1s
128.110.0.35			128.110.0.32			18771			136			TCP			801			1.3s
128.110.0.35			128.110.0.32			2436			297			TCP			897			3.2s
128.110.0.35			128.110.0.32			9547			607			TCP			607			1.9s
128.110.0.35			128.110.0.32			2918			1536			TCP			672			1.7s
128.110.0.35			128.110.0.32			14694			556			TCP			838			3.4s
128.110.0.35			128.110.0.32			12971			597			TCP			856			3.1s
128.110.0.35			128.110.0.32			17217			1173			TCP			822			3.8s
128.110.0.35			128.110.0.32			11147			2047			TCP			666			2.0s
128.110.0.35			128.110.0.32			6171			1144			TCP			641			3.4s
128.110.0.35			128.110.0.32			6586			1592			TCP			626			2.2s
128.110.0.35			128.110.0.32			11983			1119			TCP			634			3.8s
128.110.0.35			128.110.0.32			10279			521			TCP			780			2.7s
128.110.0.35			128.110.0.32			3371			175			TCP			717			1.8s
128.110.0.35			128.110.0.32			2630			1144			TCP			662			1.8s
128.110.0.35			128.110.0.32			2681			143			TCP			798			1.4s
128.110.0.35			128.110.0.32			3772			338			TCP			675			1.1s
128.110.0.35			128.110.0.32			7402			602			TCP			707			1.4s
128.110.0.35			128.110.0.32			12769			398			TCP			607			1.9s
128.110.0.35			128.110.0.32			12609			1952			TCP			843			1.9s
128.110.0.35			128.110.0.32			15263			1126			TCP			815			1.1s
128.110.0.35			128.110.0.32			9123			111			TCP			879			3.3s
128.110.0.35			128.110.0.32			14640			1558			TCP			626			2.7s
128.110.0.35			128.110.0.32			16750			994			TCP			617			1.8s
128.110.0.35			128.110.0.32			13056			406			TCP			649			3.1s
128.110.0.35			128.110.0.32			5957			1469			TCP			649			1.5s
128.110.0.35			128.110.0.32			4267			1084			TCP			858			1.5s
128.110.0.35			128.110.0.32			8207			1308			TCP			608			3.9s
128.110.0.35			128.110.0.32			17924			1254			TCP			710			2.3s
128.110.0.35			128.110.0.32			19041			198			TCP			848			2.7s
128.110.0.35			128.110.0.32			5392			1942			TCP			816			2.4s
128.110.0.35			128.110.0.32			11545			155			TCP			831			3.1s
128.110.0.35			128.110.0.32			15640			703			TCP			791			1.0s
128.110.0.35			128.110.0.32			17101			1387			TCP			651			2.6s
128.110.0.35			128.110.0.32			15752			898			TCP			724			1.6s
128.110.0.35			128.110.0.32			14378			930			TCP			824			1.5s
128.110.0.35			128.110.0.32			12532			1130			TCP			803			1.5s
128.110.0.35			128.110.0.32			6483			1527			TCP			675			2.0s
128.110.0.35			128.110.0.32			3591			1250			TCP			785			1.3s
128.110.0.35			128.110.0.32			5649			540			TCP			858			3.4s
128.110.0.35			128.110.0.32			10592			1899			TCP			682			1.8s
128.110.0.35			128.110.0.32			6640			524			TCP			741			1.0s
