host-src-ip			host-dst-ip			host-src-port			host-dst-port			host-protocol			flow-size-in-bytes			flow-duration
128.110.0.32			128.110.0.37			7091			656			UDP			170			1.6s
128.110.0.32			128.110.0.37			9969			1862			UDP			167			1.5s
128.110.0.32			128.110.0.37			8924			574			UDP			154			1.7s
128.110.0.32			128.110.0.37			8761			1476			TCP			162			1.3s
128.110.0.32			128.110.0.37			9876			665			UDP			174			1.6s
128.110.0.32			128.110.0.37			7606			1074			UDP			165			1.7s
128.110.0.32			128.110.0.37			6427			455			UDP			152			1.5s
128.110.0.32			128.110.0.37			9590			1819			UDP			170			1.3s
128.110.0.32			128.110.0.37			8955			766			TCP			165			1.0s
128.110.0.32			128.110.0.37			5436			1424			TCP			173			1.6s
128.110.0.32			128.110.0.37			7152			1618			UDP			163			1.2s
128.110.0.32			128.110.0.37			7023			746			TCP			162			1.1s
128.110.0.32			128.110.0.37			9557			729			TCP			164			1.5s
128.110.0.32			128.110.0.37			5615			1659			TCP			150			1.5s
128.110.0.32			128.110.0.37			9926			1486			TCP			156			1.3s
128.110.0.32			128.110.0.37			8242			356			TCP			163			1.0s
128.110.0.32			128.110.0.37			5861			1264			UDP			166			1.5s
128.110.0.32			128.110.0.37			9468			981			TCP			152			1.0s
128.110.0.32			128.110.0.37			5123			1955			TCP			164			1.6s
128.110.0.32			128.110.0.37			5907			1576			UDP			172			2.0s
128.110.0.32			128.110.0.37			8530			1070			TCP			168			1.8s
128.110.0.32			128.110.0.37			7392			1026			UDP			175			1.7s
128.110.0.32			128.110.0.37			7717			1099			UDP			152			1.7s
128.110.0.32			128.110.0.37			9485			1041			UDP			151			1.6s
128.110.0.32			128.110.0.37			5917			1542			TCP			150			1.2s
128.110.0.32			128.110.0.37			6851			1314			TCP			164			1.9s
128.110.0.32			128.110.0.37			5720			604			UDP			166			1.1s
128.110.0.32			128.110.0.37			7354			180			UDP			159			1.3s
128.110.0.32			128.110.0.37			6391			1759			TCP			159			1.7s
128.110.0.32			128.110.0.37			6495			1119			TCP			163			1.5s
128.110.0.32			128.110.0.37			9115			914			UDP			158			1.5s
128.110.0.32			128.110.0.37			9337			833			UDP			157			1.9s
128.110.0.32			128.110.0.37			6584			483			UDP			162			1.1s
128.110.0.32			128.110.0.37			5119			458			UDP			152			1.9s
128.110.0.32			128.110.0.37			7080			1062			TCP			174			1.3s
128.110.0.32			128.110.0.37			9539			984			UDP			154			1.6s
128.110.0.32			128.110.0.37			7408			1405			TCP			166			1.3s
128.110.0.32			128.110.0.37			5066			1018			TCP			163			1.7s
128.110.0.32			128.110.0.37			9865			1441			TCP			156			1.5s
128.110.0.32			128.110.0.37			7823			1966			UDP			159			1.3s
128.110.0.32			128.110.0.37			9811			1719			TCP			165			1.4s
128.110.0.32			128.110.0.37			5620			615			UDP			170			1.9s
128.110.0.32			128.110.0.37			8611			677			UDP			158			1.2s
128.110.0.32			128.110.0.37			8462			1054			UDP			150			1.2s
128.110.0.32			128.110.0.37			9362			1359			TCP			169			1.2s
128.110.0.32			128.110.0.37			7819			80			TCP			170			1.9s
128.110.0.32			128.110.0.37			9798			1086			UDP			175			1.7s
128.110.0.32			128.110.0.37			9535			1856			UDP			173			1.5s
128.110.0.32			128.110.0.37			7464			1783			UDP			171			1.0s
128.110.0.32			128.110.0.37			6214			537			UDP			171			1.6s
128.110.0.32			128.110.0.37			6232			612			TCP			160			1.2s
128.110.0.32			128.110.0.37			6245			828			TCP			151			1.7s
128.110.0.32			128.110.0.37			9930			691			UDP			175			1.4s
128.110.0.32			128.110.0.37			6373			1270			UDP			167			1.2s
128.110.0.32			128.110.0.37			8944			33			UDP			175			1.6s
128.110.0.32			128.110.0.37			9455			244			UDP			174			1.3s
