host-src-ip			host-dst-ip			host-src-port			host-dst-port			host-protocol			flow-size-in-bytes			flow-duration
128.110.0.32			128.110.0.49			15178			33043			TCP			913			6.3s
128.110.0.32			128.110.0.49			18531			31581			TCP			962			2.3s
128.110.0.32			128.110.0.49			12974			34814			TCP			760			2.2s
128.110.0.32			128.110.0.49			15285			31483			TCP			406			2.9s
128.110.0.32			128.110.0.49			10087			32235			TCP			676			6.2s
128.110.0.32			128.110.0.49			19222			39227			TCP			650			4.8s
128.110.0.32			128.110.0.49			13845			39441			TCP			445			2.7s
128.110.0.32			128.110.0.49			13877			38005			TCP			578			4.0s
128.110.0.32			128.110.0.49			15637			31244			TCP			632			7.3s
128.110.0.32			128.110.0.49			16117			36968			TCP			449			2.8s
128.110.0.32			128.110.0.49			18037			37749			TCP			589			4.0s
128.110.0.32			128.110.0.49			19180			35241			TCP			629			5.5s
128.110.0.32			128.110.0.49			12396			39439			TCP			498			3.3s
128.110.0.32			128.110.0.49			18077			36107			TCP			624			6.8s
128.110.0.32			128.110.0.49			10659			30998			TCP			590			4.6s
128.110.0.32			128.110.0.49			19909			36539			TCP			943			6.5s
128.110.0.32			128.110.0.49			12872			31755			TCP			562			1.7s
128.110.0.32			128.110.0.49			14813			36868			TCP			798			4.7s
128.110.0.32			128.110.0.49			15096			31359			TCP			512			4.9s
128.110.0.32			128.110.0.49			12053			34302			TCP			648			1.7s
128.110.0.32			128.110.0.49			10653			37370			TCP			790			3.7s
128.110.0.32			128.110.0.49			18168			35860			TCP			562			6.1s
128.110.0.32			128.110.0.49			14798			36486			TCP			856			3.0s
128.110.0.32			128.110.0.49			13346			33402			TCP			711			7.0s
128.110.0.32			128.110.0.49			17856			30886			TCP			878			7.3s
128.110.0.32			128.110.0.49			17977			39635			TCP			610			3.4s
128.110.0.32			128.110.0.49			18211			33547			TCP			795			4.4s
128.110.0.32			128.110.0.49			11006			30815			TCP			641			7.2s
128.110.0.32			128.110.0.49			11345			36009			TCP			662			1.2s
128.110.0.32			128.110.0.49			13491			31397			TCP			985			1.6s
128.110.0.32			128.110.0.49			11343			34710			TCP			760			1.9s
128.110.0.32			128.110.0.49			14774			37937			TCP			746			2.0s
128.110.0.32			128.110.0.49			10205			38253			TCP			580			7.0s
128.110.0.32			128.110.0.49			18464			30444			TCP			877			5.4s
128.110.0.32			128.110.0.49			11465			31562			TCP			510			4.5s
128.110.0.32			128.110.0.49			17004			37083			TCP			719			3.1s
128.110.0.32			128.110.0.49			18218			39051			TCP			692			6.9s
128.110.0.32			128.110.0.49			14200			38428			TCP			594			3.9s
128.110.0.32			128.110.0.49			12873			36172			TCP			804			6.7s
128.110.0.32			128.110.0.49			17547			38104			TCP			632			2.0s
128.110.0.32			128.110.0.49			10075			30762			TCP			860			7.4s
128.110.0.32			128.110.0.49			14140			32653			TCP			703			6.3s
128.110.0.32			128.110.0.49			12644			36643			TCP			978			5.9s
128.110.0.32			128.110.0.49			15547			34141			TCP			992			3.5s
128.110.0.32			128.110.0.49			14871			31414			TCP			528			3.2s
128.110.0.32			128.110.0.49			16158			35418			TCP			809			1.8s
128.110.0.32			128.110.0.49			10016			32718			TCP			451			5.9s
128.110.0.32			128.110.0.49			14628			31453			TCP			697			3.8s
128.110.0.32			128.110.0.49			18385			32528			TCP			822			1.5s
128.110.0.32			128.110.0.49			11495			33582			TCP			671			5.3s
128.110.0.33			128.110.0.49			15817			34994			TCP			422			6.2s
128.110.0.33			128.110.0.49			15283			38643			TCP			481			5.8s
128.110.0.33			128.110.0.49			16368			32091			TCP			401			6.4s
128.110.0.33			128.110.0.49			11794			35705			TCP			733			2.7s
128.110.0.33			128.110.0.49			12715			36733			TCP			444			3.1s
128.110.0.33			128.110.0.49			18200			30750			TCP			863			3.3s
128.110.0.33			128.110.0.49			12065			35040			TCP			529			6.1s
128.110.0.33			128.110.0.49			17253			30928			TCP			800			6.9s
128.110.0.33			128.110.0.49			17121			33957			TCP			478			7.5s
128.110.0.33			128.110.0.49			19923			30985			TCP			749			5.5s
128.110.0.33			128.110.0.49			12077			32683			TCP			891			3.3s
128.110.0.33			128.110.0.49			15001			36985			TCP			651			6.4s
128.110.0.33			128.110.0.49			13730			38994			TCP			508			1.0s
